0,51.509,-0.16102,-0.011442,0.047952,-0.026929
0.5,51.509,-0.16103,0.12486,-0.012818,-0.066381
1,51.509,-0.16103,0.26552,0.0070755,0.013368
1.5,51.509,-0.16103,0.49188,-0.0024349,0.0072933
2,51.509,-0.16103,0.7815,0.00038652,-0.0096713
2.5,51.509,-0.16103,0.93876,0.015323,0.0091886
3,51.509,-0.16103,1.2876,0.0099515,0.005743
3.5,51.509,-0.16103,1.197,-0.0038332,0.018037
4,51.509,-0.16103,1.3681,-0.035358,-0.059045
4.5,51.509,-0.16103,1.1161,0.0088418,-0.008292
5,51.509,-0.16102,1.3521,0.0016211,-0.0044808
5.5,51.509,-0.16102,1.1342,-0.013603,0.011328
6,51.509,-0.16102,1.3737,0.0067322,-0.031388
6.5,51.509,-0.16102,1.1459,0.053506,0.04858
7,51.509,-0.16102,1.3467,-0.018395,-0.012577
7.5,51.509,-0.16102,1.2113,0.023833,0.024324
8,51.509,-0.16102,1.3074,-0.01752,-0.040942
8.5,51.509,-0.16102,1.175,-0.0045915,-0.048189
9,51.509,-0.16102,1.3437,0.012368,-0.030346
9.5,51.509,-0.16102,1.2135,0.087584,0.1235
10,51.509,-0.16102,1.3021,0.023171,0.058314
10.5,51.509,-0.16102,1.2099,0.013901,0.024834
11,51.509,-0.16102,1.2752,-0.0021657,0.026245
11.5,51.509,-0.16102,1.3039,0.02288,-0.0022041
12,51.509,-0.16102,1.2088,-0.0097606,-0.0027743
12.5,51.509,-0.16102,1.3025,-0.0062564,0.0070468
13,51.509,-0.16102,1.1695,-0.018826,-0.021198
13.5,51.509,-0.16102,1.3126,0.0060191,-0.033273
14,51.509,-0.16102,1.1528,0.0026887,-0.026336
14.5,51.509,-0.16102,1.3456,-0.0062327,0.023913
15,51.509,-0.16102,1.1515,-0.061043,-0.053856
15.5,51.509,-0.16102,1.3437,-0.03018,-0.089169
16,51.509,-0.16102,1.1004,-0.0066028,-0.046313
16.5,51.509,-0.16102,1.3606,0.013277,-0.001923
17,51.509,-0.16102,1.0661,-0.013751,-0.029837
17.5,51.509,-0.16102,1.412,-0.0033594,-0.042818
18,51.509,-0.16102,1.0885,0.00073279,-0.030275
18.5,51.509,-0.16102,1.4048,0.0026943,-0.013998
19,51.509,-0.16102,1.0488,-0.0065095,-0.026151
19.5,51.509,-0.16102,1.4469,0.038001,0.045257
20,51.509,-0.16102,1.0738,0.0044558,0.017267
20.5,51.509,-0.16102,1.3728,0.0011465,-0.0071627
21,51.509,-0.16102,1.1319,0.0048834,-0.023792
21.5,51.509,-0.16102,1.353,0.038816,0.068997
22,51.509,-0.16102,1.0987,-0.047465,-0.02497
22.5,51.51,-0.16102,1.3847,-0.025963,-0.04136
23,51.51,-0.16102,1.1215,-0.0048325,0.030525
23.5,51.51,-0.16102,1.335,0.019659,0.020793
24,51.51,-0.16102,1.1479,-0.017247,-0.049856
24.5,51.51,-0.16102,1.309,0.0092322,0.0011712
25,51.51,-0.16102,1.1664,-0.0032507,0.021812
25.5,51.51,-0.16102,1.3416,-0.039246,-0.0084285
26,51.51,-0.16102,1.1568,-0.014429,-0.0031438
26.5,51.51,-0.16102,1.3114,-0.038157,-0.071053
27,51.51,-0.16102,1.2255,-0.008915,-0.018034
27.5,51.51,-0.16102,1.2225,-0.0047682,0.062474
28,51.51,-0.16102,1.2898,-0.061624,-0.01041
28.5,51.51,-0.16102,1.1968,-0.027076,0.0090864
29,51.51,-0.16102,1.2867,-0.080834,-0.073657
29.5,51.51,-0.16102,1.1766,-0.02303,-0.044183
30,51.51,-0.16102,1.2916,-0.023606,-0.052043
30.5,51.51,-0.16102,1.2428,0.0025394,-0.018639
31,51.51,-0.16102,1.2784,-0.0016454,0.027832
31.5,51.51,-0.16102,1.195,-0.0045875,-0.0077012
32,51.51,-0.16102,1.2874,-0.0027315,0.057112
32.5,51.51,-0.16102,1.0118,-0.031675,-0.021144
33,51.51,-0.16102,0.75572,-0.036668,-0.075674
33.5,51.51,-0.16102,0.51661,-0.0089689,-0.033564
34,51.51,-0.16102,0.23227,-0.0031447,0.018123
34.5,51.51,-0.16102,0.17725,0.074139,0.27675
35,51.51,-0.16102,0.2487,0.1117,0.50586
35.5,51.51,-0.16102,0.17519,0.18983,0.77899
36,51.51,-0.16102,0.13245,0.20097,1.0696
36.5,51.51,-0.16102,0.046333,0.22739,1.3446
37,51.51,-0.16102,0.039855,0.2499,1.553
37.5,51.51,-0.16101,-0.07288,0.17592,1.8414
38,51.51,-0.16101,-0.094205,0.31187,2.038
38.5,51.51,-0.16101,-0.17234,0.10867,2.242
39,51.51,-0.16101,-0.18669,0.18546,2.5281
39.5,51.51,-0.16101,-0.26421,0.011288,2.9014
